epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
192,1.120,0.550,1.195,0.205,0.489,0.787,0.555,0.603,0.271
193,1.131,0.549,1.209,0.204,0.489,0.786,0.555,0.603,0.271
194,1.183,0.573,1.273,0.206,0.490,0.786,0.555,0.603,0.271
195,1.138,0.556,1.204,0.205,0.490,0.787,0.556,0.604,0.271
196,1.173,0.566,1.267,0.204,0.489,0.787,0.555,0.603,0.271
197,1.165,0.563,1.258,0.203,0.490,0.784,0.556,0.603,0.271
198,1.164,0.561,1.246,0.212,0.491,0.785,0.556,0.604,0.271
199,1.187,0.569,1.249,0.203,0.491,0.785,0.555,0.604,0.271
200,1.177,0.573,1.249,0.205,0.493,0.782,0.556,0.604,0.272
201,1.164,0.566,1.228,0.204,0.493,0.782,0.556,0.605,0.271
202,1.152,0.557,1.230,0.205,0.492,0.784,0.556,0.605,0.272
203,1.188,0.572,1.273,0.210,0.493,0.784,0.556,0.605,0.272
204,1.189,0.567,1.293,0.205,0.492,0.786,0.556,0.605,0.272
205,1.140,0.552,1.233,0.208,0.492,0.785,0.556,0.605,0.271
206,1.168,0.570,1.238,0.203,0.492,0.785,0.556,0.605,0.272
207,1.146,0.552,1.230,0.205,0.492,0.785,0.556,0.605,0.272
208,1.136,0.550,1.205,0.202,0.492,0.784,0.556,0.605,0.272
209,1.167,0.566,1.241,0.205,0.492,0.784,0.557,0.605,0.272
210,1.167,0.570,1.226,0.203,0.493,0.783,0.557,0.605,0.272
211,1.161,0.568,1.217,0.198,0.492,0.785,0.557,0.605,0.272
212,1.173,0.562,1.241,0.200,0.493,0.783,0.557,0.605,0.272
213,1.175,0.566,1.240,0.201,0.493,0.783,0.557,0.605,0.272
214,1.191,0.570,1.254,0.204,0.493,0.782,0.557,0.605,0.272
215,1.167,0.560,1.253,0.206,0.494,0.781,0.557,0.605,0.272
216,1.151,0.562,1.204,0.200,0.495,0.781,0.558,0.606,0.272
